> 20m - 30m,2016-09-20,TCSERVER05,CDRAdapter,0,0.0000000000
> 30m,2016-09-20,TCSERVER05,CDRAdapter,0,0.0000000000
TOTAL,2016-09-20,TCSERVER05,CDRAdapter,19467461,100
< 1m,2016-09-20,TCSERVER05,Notification,443717,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER05,Notification,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER05,Notification,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER05,Notification,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER05,Notification,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER05,Notification,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER05,Notification,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER05,Notification,0,0.0000000000
> 30m,2016-09-20,TCSERVER05,Notification,0,0.0000000000
TOTAL,2016-09-20,TCSERVER05,Notification,443717,100
< 1m,2016-09-20,TCSERVER05,ServiceEventHandler,1709365,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER05,ServiceEventHandler,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER05,ServiceEventHandler,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER05,ServiceEventHandler,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER05,ServiceEventHandler,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER05,ServiceEventHandler,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER05,ServiceEventHandler,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER05,ServiceEventHandler,0,0.0000000000
> 30m,2016-09-20,TCSERVER05,ServiceEventHandler,0,0.0000000000
TOTAL,2016-09-20,TCSERVER05,ServiceEventHandler,1709365,100
< 1m,2016-09-20,TCSERVER05,SMSGateway,270230,100.0000000000
> 1m - 2m,2016-09-20,TCSERVER05,SMSGateway,0,0.0000000000
> 2m - 3m,2016-09-20,TCSERVER05,SMSGateway,0,0.0000000000
> 3m - 5m,2016-09-20,TCSERVER05,SMSGateway,0,0.0000000000
> 5m - 10m,2016-09-20,TCSERVER05,SMSGateway,0,0.0000000000
> 10m - 15m,2016-09-20,TCSERVER05,SMSGateway,0,0.0000000000
> 15m - 20m,2016-09-20,TCSERVER05,SMSGateway,0,0.0000000000
> 20m - 30m,2016-09-20,TCSERVER05,SMSGateway,0,0.0000000000
> 30m,2016-09-20,TCSERVER05,SMSGateway,0,0.0000000000
TOTAL,2016-09-20,TCSERVER05,SMSGateway,270230,100
< 1m,2016-09-20,TCSERVER05,WalletHandler,444998,16.4811876582
> 1m - 2m,2016-09-20,TCSERVER05,WalletHandler,130527,4.8342688764
